Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Link to Listing
STUDIO APARTMENT - TURN KEY - EVERYTHING INCLUDED - apts/housing for rent - apartment rent - craigslist,Apartment,$280 ,Washington,N/A,40.1717,-80.256,1,1,N/A,weekly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/washington-studio-apartment-turn-key/7790214259.html
"WEEKLY OR MONTHLY 2 Bed Apt - GRANITE, STAINLESS!!!Kk - apts/housing for rent - apartment rent - craigslist",Apartment,$395 ,N/A,N/A,40.2706,-80.1668,2,1,N/A,weekly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/weekly-or-monthly-bed-apt-granite/7790214173.html
"Gazebo, Situated in Carnegie!, 1 BD - apts/housing for rent - apartment rent - craigslist",Apartment,$959 ,Carnegie,"1 3rd Ave, Carnegie, PA 15106",40.405333,-80.088281,1,1,557,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/carnegie-gazebo-situated-in-carnegie-bd/7790213093.html
"Pets Allowed, Window Coverings, Internet Access: High-Speed - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,484 ",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pets-allowed-window/7788548507.html
"Swimming Pool, Close to Freeway, 1bd 1ba - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,425 ",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.4477,-79.9933,1,1,595,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-swimming-pool-close-to/7788988043.html
"On-site Parking Garage, Package Room, Plank Flooring - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,860 ",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,715,monthly,laundry in bldg,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-on-site-parking-garage/7788463339.html
"Internet Access: High-Speed, Patio/Balcony, Pets Allowed - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,484 ",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-internet-access-high-speed/7790211049.html
"1/BD, On-Site Laundry Facility, In Pittsburgh - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,195 ",Pittsburgh,"7 Dorchester Drive, Pittsburgh, PA 15241",40.3323,-80.081,1,1,660,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bd-on-site-laundry-facility/7788389352.html
ONE BEDROOM IN SQUIRREL HILL - apts/housing for rent - apartment rent - craigslist,Apartment,$950 ,N/A,N/A,40.41838,-79.923297,1,1,N/A,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/one-bedroom-in-squirrel-hill/7787542465.html
1 BEDROOM AVAILABLE - apts/housing for rent - apartment rent - craigslist,Apartment,$875 ,N/A,N/A,40.41838,-79.923297,1,1,N/A,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/bedroom-available/7785796275.html
ONE BEDROOM IN SQUIRREL HILL - apts/housing for rent - apartment rent - craigslist,Apartment,$925 ,N/A,N/A,40.41838,-79.923297,1,1,N/A,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/one-bedroom-in-squirrel-hill/7785796251.html
1 BEDROOM FOR RENT - apts/housing for rent - apartment rent - craigslist,Apartment,$925 ,Pittsburgh,"3245 Beechwood Boulevard, Pittsburgh, PA 15217",40.41838,-79.923297,1,1,N/A,monthly,laundry in bldg,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-for-rent/7782366199.html
3 Bedroom Units Are Available - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,975 ",Pittsburgh,"309 McKee Place, Pittsburgh, PA 15213",40.449405,-79.882451,3,1,N/A,monthly,laundry in bldg,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-units-are-available/7785585057.html
Studio unit available - apts/housing for rent - apartment rent - craigslist,Apartment,$770 ,Pittsburgh,"309 McKee Place, Pittsburgh, PA 15213",40.449405,-79.882451,N/A,1,N/A,monthly,laundry in bldg,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-studio-unit-available/7785796594.html
2015 Wendover Street - 1 BR - apts/housing for rent - apartment rent - craigslist,Apartment,$950 ,Pittsburgh,N/A,40.433765,-79.928844,1,1,N/A,monthly,laundry on site,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2015-wendover-street-br/7785796352.html
2015 Wendover Street - 1 BR - apts/housing for rent - apartment rent - craigslist,Apartment,$900 ,Pittsburgh,N/A,40.433765,-79.928844,1,1,N/A,monthly,laundry on site,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2015-wendover-street-br/7785796315.html
Move in 1/2! 2BR w sunroom Nr Bkry Sq! Buslines 2 Pitt/UPMC/CMU! - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,450 ",Pittsburgh,"Hastings, Pittsburgh, PA 15206",40.454268,-79.913273,2,1,1100,monthly,w/d hookups,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-move-in-2-2br-sunroom-nr/7790197682.html
629 Woodlawn Avenue - apts/housing for rent - apartment rent - craigslist,Apartment,$700 ,California,"629 Woodlawn Avenue, West Brownsville, PA 15417",40.031137,-79.880047,2,1,N/A,monthly,laundry on site,street parking,https://pittsburgh.craigslist.org/apa/d/california-629-woodlawn-avenue/7790202304.html
"On-Site Management, Covered Parking, Central Air - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,345 ",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.5,-80.1996,1,1,825,monthly,w/d in unit,carport,https://pittsburgh.craigslist.org/apa/d/coraopolis-on-site-management-covered/7781689113.html
"Walk to Bus, 1 BD - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,050 ",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.4001,-80.0161,1,1,400,monthly,laundry in bldg,street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-walk-to-bus-bd/7782617885.html
pittsburgh apartments / housing for rent - craigslist,Apartment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/verona-welcome-to-this-charming-all/7790198725.html
pittsburgh apartments / housing for rent - craigslist,Apartment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-cozy-riverside-bedroom-15/7790198715.html
"1/bd 1/ba, Close to Restaurants, in Pittsburgh PA - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,520 ",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.4477,-79.9933,1,1,620,monthly,w/d in unit,attached garage,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bd-ba-close-to-restaurants/7782576890.html
"1 bedroom, In Bridgeville, Air Conditioner - apts/housing for rent - apartment rent - craigslist",Apartment,$993 ,Bridgeville,"479 Bank St Ext, Bridgeville, PA 15017",40.357388,-80.111871,1,1,663,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/bridgeville-bedroom-in-bridgeville-air/7789604459.html
"Professionally Managed, Heat Included , Close to Shops and Dining - apts/housing for rent - apartment rent - craigslist",Apartment,$734 ,Pittsburgh,"255 East Ohio Street, Pittsburgh, PA 15212",40.452119,-80.003016,2,1,576,monthly,laundry on site,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-professionally-managed-heat/7790194477.html
darling ranch-option possible-Fox Chapel schools - apts/housing for rent - apartment rent - craigslist,House,"$1,399 ",Rural Ridge,N/A,40.596852,-79.829603,2,1,N/A,monthly,w/d hookups,off-street parking,https://pittsburgh.craigslist.org/apa/d/rural-ridge-darling-ranch-option/7784079796.html
"2 Bed, 2 Bath House - apts/housing for rent - apartment rent - craigslist",House,$945 ,Mckeesport,"Orchard, Mckeesport, PA 15132",40.334869,-79.838869,2,2,N/A,monthly,w/d hookups,detached garage,https://pittsburgh.craigslist.org/apa/d/mckeesport-bed-bath-house/7790192500.html
Move in 12/1! 1BR on buslines 2 CMU/Pitt/Chatham/UPMC! Gr8 Loc! - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,016 ",Pittsburgh,"Covode, Pittsburgh, PA 15217",40.431869,-79.927273,1,1,400,monthly,laundry in bldg,off-street parking,https://pittsburgh.craigslist.org/apa/d/pittsburgh-move-in-br-on-buslines-cmu/7788456204.html
