Price,Location,Beds,Baths,Size,Units,Phone,Image_URL,Home_URL
"$1,199+/mo","Baum Boulevard Flats | 5722 Baum Blvd, Pittsburgh, PA 15206",1-2 bed,1 bath,—,3 units available,(412) 912-1022,https://ssl.cdn-redfin.com/photo/rent/f485ba44-a9ee-4e67-b3bf-ece0f81013fe/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/5722-Baum-Blvd-15206/home/182307309
"$1,315+/mo","Club at North Hills | 700 Duncan Ave, Pittsburgh, PA 15237",1-2 bed,1-2 bath,"572-1,039",13 units available,(724) 715-3875,https://ssl.cdn-redfin.com/photo/rent/3b0050cf-c37d-415a-a469-98b07a15af5a/islphoto/genIsl.0_8.jpg,https://www.redfin.com/PA/Pittsburgh/Club-at-North-Hills/apartment/186152842
"$1,525/mo","1709 Fifth Ave Unit 505, Pittsburgh, PA 15219",1 bed,1 bath,615,Fitness Center,(412) 246-9007,https://ssl.cdn-redfin.com/photo/rent/baa2d066-15af-4f79-b429-a567d11e2138/islphoto/genIsl.1_1.jpg,https://www.redfin.com/PA/Pittsburgh/1709-Fifth-Ave-15219/unit-505/apartment/193015957
$965+/mo,"Arlington | 515 S Aiken Ave, Pittsburgh, PA 15232",0-2 beds,1-2 bath,—,21 units available,(724) 307-8974,https://ssl.cdn-redfin.com/photo/rent/f00d0cef-735e-45a9-8ef3-074002164a3d/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Arlington/apartment/73554382
"$1,949+/mo","Aurora Manor Townhomes | 2207 Aurora Dr, Pittsburgh, PA 15237",2 beds,1.5 baths,"1,600",2 units available,(724) 715-6798,https://ssl.cdn-redfin.com/photo/rent/cceb5618-b4e1-4a42-a373-19a770fd9d4d/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Aurora-Manor-Townhomes/apartment/191481556
"$1,649+/mo","The Residences @ The Garden | 22 West North Ave, Pittsburgh, PA 15212",1-2 bed,1-2 bath,"635-1,078",6 units available,(412) 714-2653,https://ssl.cdn-redfin.com/photo/rent/8c40190c-9a4c-4748-ba29-a51d3536ece2/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/The-Residences-The-Garden/apartment/186851596
"$1,600/mo","5826 Burchfield Ave, Pittsburgh, PA 15217",1 bed,1 bath,900,Somewhat walkable,(412) 254-8150,https://ssl.cdn-redfin.com/photo/rent/a7eaf336-8bce-47ce-973e-aaa5973fa1b7/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/5826-Burchfield-Ave-15217/home/73533977
"$1,315+/mo","Torrente at Upper St. Clair | 2565 Boyce Plaza Rd, Upper St Clair, PA 15241",1-2 bed,1-2 bath,"828-1,132",18 units available,(724) 307-5939,https://ssl.cdn-redfin.com/photo/rent/08418db2-b9d8-4a42-aa2c-0277ba2cbed5/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Upper-St-Clair/Torrente-at-Upper-St-Clair/apartment/177361314
"$1,480/mo","Hollendon Apartments | 1723 Wightman St, Pittsburgh, PA 15217",2 beds,1 bath,—,1 unit available,(412) 871-4813,https://ssl.cdn-redfin.com/photo/rent/666bf544-558b-4783-86a0-6d86e2a32e4c/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Hollendon-Apartments/apartment/74751425
$949+/mo,"Riverwind at Chatham Park Drive | 300 Chatham Park Dr, Pittsburgh, PA 15220",0-2 beds,1-2 bath,"506-1,053",14 units available,(412) 714-2637,https://ssl.cdn-redfin.com/photo/rent/738088c5-b0ce-409d-9e62-51df41982f5a/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Riverwind-at-Chatham-Park-Drive/apartment/177361953
"$1,650/mo","5316 Orchard Hill Dr, Pittsburgh, PA 15236",3 beds,1 bath,—,Car-dependent,(412) 572-1490,https://ssl.cdn-redfin.com/photo/rent/b05129c2-ab79-4b6d-bbe4-d9d560ad4429/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/5316-Orchard-Hill-Dr-15236/home/74556735
"$1,329+/mo","Allegheny Branch House Lofts | 810 W North Ave, Pittsburgh, PA 15233",0-2 beds,1-2 bath,"420-1,144",13 units available,(412) 714-2768,https://ssl.cdn-redfin.com/photo/rent/a2f41615-118b-4ca4-8df5-96220fd26b37/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Allegheny-Branch-House-Lofts/apartment/189506184
"$1,270+/mo","The Cascades Townhomes | 100 E West Dr, Pittsburgh, PA 15237",1-2 bed,1-1.5 bath,"704-1,120",8 units available,(724) 492-8469,https://ssl.cdn-redfin.com/photo/rent/13343709-dfa4-475a-abd8-709438e1daf3/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Pittsburgh/The-Cascades-Townhomes/apartment/74538065
$975+/mo,"Pendale Towers | 460 Washington Rd, Pittsburgh, PA 15228",1-2 bed,1-1.5 bath,"682-1,008",11 units available,(724) 715-3667,https://ssl.cdn-redfin.com/photo/rent/349227d0-ae17-4fbe-b331-4e3d8fa0e371/islphoto/genIsl.0_14.jpg,https://www.redfin.com/PA/Pittsburgh/Pendale-Towers/apartment/74771797
$715/mo,"102 W Steuben St Unit 106-B2, Crafton, PA 15205",1 bed,1 bath,350,N/A,(412) 444-4400,https://ssl.cdn-redfin.com/photo/rent/00c1baff-5475-4c4a-8ec0-6bff7c20a2b3/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Crafton/102-W-Steuben-St-15205/unit-106-B2/apartment/193015614
"$1,379+/mo","900 Penn Apartments | 900 Penn Ave, Pittsburgh, PA 15222",0-1 beds,1 bath,520-870,5 units available,(412) 912-8842,https://ssl.cdn-redfin.com/photo/rent/64270277-7a58-4b65-b2e5-d4ece7200284/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/900-Penn-Ave-15222/apartment/74773465
$950+/mo,"Crane Village Apartments | 651 Oaklynn Ct, Pittsburgh, PA 15220",0-2 beds,1 bath,493-875,16 units available,(412) 709-5219,https://ssl.cdn-redfin.com/photo/rent/5a492385-cf6c-4151-8d5a-c834672c96b3/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Crane-Village-Apartments/apartment/177361272
"$1,440+/mo","LiveWell | 550 Wood St, Pittsburgh, PA 15222",0-3 beds,1-2 bath,"576-1,377",69 units available,(412) 550-4137,https://ssl.cdn-redfin.com/photo/rent/0d236cfa-15d5-4367-abb4-c6bc393bcbe9/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/550-Wood-St-15222/home/163824906
"$1,295/mo","905 Bingham St, Pittsburgh, PA 15203",1 bed,1 bath,525,N/A,(412) 945-0301,https://ssl.cdn-redfin.com/photo/rent/d0ab646c-d981-4a1f-9e09-62588505bda6/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/905-Bingham-St-15203/apartment/190133794
"$1,050+/mo","Brentmoor at Penn Center | 1100 Penn Center Blvd, Pittsburgh, PA 15235",0-2 beds,1-2 bath,—,10 units available,(724) 715-3860,https://ssl.cdn-redfin.com/photo/rent/7e18bf5c-c098-462e-9d58-c7bc2354c9e1/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Brentmoor-at-Penn-Center/apartment/74436848
"$1,405+/mo","Amberson Plaza Apartments | 5030 Centre Ave, Pittsburgh, PA 15213",1-2 bed,1 bath,680-720,25 units available,(412) 912-8165,https://ssl.cdn-redfin.com/photo/rent/e793f679-11c0-4b46-92eb-d010a109d12f/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Amberson-Plaza-Apartments/apartment/74661987
"$1,465/mo","Lofts at Terrain | 700 Mansfield Ave, Pittsburgh, PA 15205",2 beds,2 baths,762,5 units available,(724) 492-8939,https://ssl.cdn-redfin.com/photo/rent/9b6c40e0-16ed-4cf5-bc93-920d49217f72/islphoto/genIsl.0_13.jpg,https://www.redfin.com/PA/Pittsburgh/Lofts-at-Terrain/apartment/145077064
"$1,500/mo","421-423 Lamar Ave, Pittsburgh, PA 15221",2 beds,1 bath,"1,100",Pets welcome,(412) 254-8150,https://ssl.cdn-redfin.com/photo/rent/0c6d68e9-42f4-4733-ac99-fc6bf9ade6ff/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/421-423-Lamar-Ave-15221/home/193015465
"$1,525+/mo","Royal Windsor | 222 Melwood Ave, Pittsburgh, PA 15213",2-5 beds,1-3 bath,"755-2,040",4 units available,(412) 814-1394,https://ssl.cdn-redfin.com/photo/rent/adbe946a-a262-4be4-881e-fc0eabaf541c/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Royal-Windsor/apartment/74567428
"$1,135+/mo","Carriage House | 1515 Penn Ave, Wilkinsburg, PA 15221",2 beds,1 bath,—,1 unit available,(412) 815-1180,https://ssl.cdn-redfin.com/photo/rent/6571b9c7-45c6-4fd8-8016-522c2ee8206a/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Wilkinsburg/Carriage-House/apartment/74545818
$950/mo,"Apartments on Academy | 50-60 Academy Ave, Pittsburgh, PA 15228",1 bed,1 bath,1,4 units available,(412) 815-1356,https://ssl.cdn-redfin.com/photo/rent/072ab40b-91f1-4cca-8119-3d5760ed3767/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Pittsburgh/Apartments-on-Academy/apartment/185040265
"$1,749/mo","84 Pasadena St, Pittsburgh, PA 15211",5 beds,1 bath,"2,250",A/C,(412) 248-2489,https://ssl.cdn-redfin.com/photo/rent/d579d409-9861-417e-b82c-42ae64b88848/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/84-Pasadena-St-15211/home/74503381
"$1,785/mo","The Brake House Lofts | 2501 Liberty Ave, Pittsburgh, PA 15222",1 bed,1 bath,—,4 units available,(724) 715-3990,https://ssl.cdn-redfin.com/photo/rent/b98d7012-e301-4d2e-b483-a4507c678a1e/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/The-Brake-House-Lofts/apartment/74562294
Contact for Price,"Plum Creek Acres | 501 Center New Texas Rd, Pittsburgh, PA 15239",1 bed,1 bath,—,1 unit available,(724) 307-8891,https://ssl.cdn-redfin.com/photo/rent/f2e3c07e-0499-4276-b836-0ba54f06c27b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Plum-Creek-Acres/apartment/186017376
"$1,500+/mo","The Reserve at Summerset | 1001 Parkview Blvd, Pittsburgh, PA 15217",1-3 bed,1-2.5 bath,"714-1,457",2 units available,(412) 815-1128,https://ssl.cdn-redfin.com/photo/rent/85cd8ba7-e2e6-4e0e-a052-127fd5477085/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/The-Reserve-at-Summerset/apartment/187437731
"$1,895/mo","200 Briggs St, Pittsburgh, PA 15234",3 beds,2 baths,"1,472",Car-dependent,(412) 339-0655,https://ssl.cdn-redfin.com/photo/rent/2de034e6-cea0-4f7e-96a9-6696ce384cd1/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/200-Briggs-St-15234/home/74766679
"$1,499/mo","Craig Manor | 325 N Craig St #329, Pittsburgh, PA 15213",2 beds,1 bath,750,1 unit available,(412) 500-0373,https://ssl.cdn-redfin.com/photo/rent/5aa5ec86-b086-4e10-aab5-5c9ba4d5ff64/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Craig-Manor/apartment/192619702
"$1,100+/mo","The Atwood | 110-112 Garden Gate Dr, Pittsburgh, PA 15236",1-2 bed,1-1.5 bath,650-873,3 units available,(412) 912-8902,https://ssl.cdn-redfin.com/photo/rent/879a4277-0d31-495a-924d-43e5ab0bdda0/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/The-Atwood/apartment/181070161
"$1,731+/mo","Maxon Towers | 6315 Forbes Ave, Pittsburgh, PA 15217",1-2 bed,1-2 bath,700-950,4 units available,(412) 714-2270,https://ssl.cdn-redfin.com/photo/rent/df55d365-7638-4c97-b178-88bca359308a/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Maxon-Towers/apartment/73534257
"$1,100/mo","315 Clay Dr, Pittsburgh, PA 15235",2 beds,1 bath,—,Pets welcome,(412) 426-9181,https://ssl.cdn-redfin.com/photo/rent/f4857ccc-4547-4066-b093-b1e750efa11c/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/315-Clay-Dr-15235/home/74668496
"$1,325+/mo","School House Apartments | 500 Tripoli St, Pittsburgh, PA 15212",0-2 beds,1-2.5 bath,"563-1,345",43 units available,(724) 307-5815,https://ssl.cdn-redfin.com/photo/rent/20336fb1-428b-430e-9822-ddd27bb22b6f/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/School-House-Apartments/apartment/74552418
"$1,985+/mo","Bates Hill | 3812 Bates St, Pittsburgh, PA 15213",2 beds,1-2 bath,780,2 units available,(412) 912-7076,https://ssl.cdn-redfin.com/photo/rent/c02daaa9-d5e1-49b6-8303-bcdcfdecc9ba/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Bates-Hill/apartment/73525059
$950/mo,"Canteberry Arms | 18 N Fremont Ave, Pittsburgh, PA 15202",1 bed,1 bath,—,Pets welcome,(412) 912-8949,https://ssl.cdn-redfin.com/photo/rent/a3e4f37c-250d-47bd-a4da-bc2ac7cd7c77/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Canteberry-Arms/apartment/74504998
"$1,300/mo","69 Fischer Ave, Pittsburgh, PA 15223",2 beds,1 bath,—,N/A,(412) 531-1500,https://ssl.cdn-redfin.com/photo/rent/e0efd1ef-ebd8-403e-b304-bb4c6269d9fa/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/69-Fischer-Ave-15223/home/193013838
"$1,325+/mo","Brew House Lofts | 711 S 21st St, Pittsburgh, PA 15203",1-2 bed,1-2 bath,—,3 units available,(412) 912-8455,https://ssl.cdn-redfin.com/photo/rent/6edcafcf-eab8-4b50-938f-5aaa3106cf38/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Brew-House-Lofts/apartment/163671436
Contact for Price,"Forward Shady Apartment | 5841 Forward Ave, Pittsburgh, PA 15217",1 bed,1 bath,—,Laundry in unit,(412) 815-1267,https://ssl.cdn-redfin.com/photo/rent/cbef1e44-b107-4b30-9a50-1d3d73b2aee2/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Forward-Shady-Apartment/apartment/177358284
"$1,050+/mo","Emerald Gardens | 2400 Village Rd, Pittsburgh, PA 15205",1-3 bed,1 bath,"544-1,020",26 units available,(412) 944-2231,https://ssl.cdn-redfin.com/photo/rent/9f99e569-1447-4621-8776-b9648d796a61/islphoto/genIsl.39_8.jpg,https://www.redfin.com/PA/Pittsburgh/Emerald-Gardens/apartment/177359983
"$1,725/mo","2451 Glenarm Ave, Pittsburgh, PA 15226",3 beds,1.5 baths,"2,000",Laundry in unit,(412) 904-1083,https://ssl.cdn-redfin.com/photo/rent/68e4066b-0ee2-4d47-91c5-aee713dc57ef/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/2451-Glenarm-Ave-15226/home/74768801
"$1,260+/mo","Greenbriar Village Apartments & Townhomes | 1701 Greenvalley Dr, Pittsburgh, PA 15220",2 beds,1 bath,912,1 unit available,(724) 307-5753,https://ssl.cdn-redfin.com/photo/rent/6249af67-00c4-4322-81fe-86d9f4fec3ab/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Greenbriar-Village-Apartments-Townhomes/apartment/177411072
$975+/mo,"Wellington One | 153 Schwitter Ave, Pittsburgh, PA 15229",1-2 bed,1 bath,—,4 units available,(412) 714-2355,https://ssl.cdn-redfin.com/photo/rent/7a741e07-928b-413a-8e60-ace561e51204/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Wellington-One/apartment/74593945
"$2,200+/mo","Portal Place Apartments | 2633 5th Ave, Pittsburgh, PA 15213",2 beds,2 baths,"1,100-1,200",6 units available,(412) 714-2324,https://ssl.cdn-redfin.com/photo/rent/9de35834-ef28-4f70-a1ae-cecf1d47616b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Portal-Place-Apartments/apartment/74571717
"$1,300/mo","11 Mildred St, Pittsburgh, PA 15223",2 beds,1 bath,—,A/C,(412) 531-1500,https://ssl.cdn-redfin.com/photo/rent/1ef55df0-4d85-47a7-9e9e-fefeb24e5b73/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/11-Mildred-St-15223/apartment/177445432
$850/mo,"Dawson House | 481 Dawson Ave, Pittsburgh, PA 15202",1 bed,1 bath,560,Pets welcome,(724) 307-8962,https://ssl.cdn-redfin.com/photo/rent/ba96d827-670f-4d5f-915c-19b7db52a54b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Dawson-House/apartment/74504672
"$1,095+/mo","North Pointe Commons | 100 Park Plaza Dr, Pittsburgh, PA 15229",1-2 bed,1-1.5 bath,630-903,3 units available,(412) 871-9162,https://ssl.cdn-redfin.com/photo/rent/e4c3c4bc-0dab-45a0-a33c-cf2f91e052de/islphoto/genIsl.3_39.jpg,https://www.redfin.com/PA/Pittsburgh/North-Pointe-Commons/apartment/177359985
"$1,015+/mo","Bower Hill III Apartments | 1170 Bower Hill Rd, Pittsburgh, PA 15243",1-3 bed,1-2 bath,"557-1,444",5 units available,(412) 205-8628,https://ssl.cdn-redfin.com/photo/rent/a6850d09-aaa1-4d4d-b617-45b67bff8091/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Bower-Hill-III-Apartments/apartment/74496821
"$3,000/mo","230 Chesterfield Rd, Pittsburgh, PA 15213",4 beds,1 bath,"1,100",Laundry in unit,(412) 567-3945,https://ssl.cdn-redfin.com/photo/rent/1908157a-2204-4b27-b536-8dd51029b522/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/230-Chesterfield-Rd-15213/home/74571532
"$1,080+/mo","Morrowfield Apartments | 2715 Murray Ave, Pittsburgh, PA 15217",0-2 beds,1 bath,—,30 units available,(724) 307-8939,https://ssl.cdn-redfin.com/photo/rent/4464b9aa-f18e-409c-899b-0eeb119d3c86/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Morrowfield-Apartments/apartment/188222942
$995+/mo,"3200 Chestnut Ridge Dr, Pittsburgh, PA 15205",1-2 bed,1-2 bath,"600-1,100",10 units available,(724) 492-8445,https://ssl.cdn-redfin.com/photo/rent/a52b8167-2cd0-42cc-a9ee-27e73ac03c4e/islphoto/genIsl.16_161.jpg,https://www.redfin.com/PA/Pittsburgh/3200-Chestnut-Ridge-Dr-15205/apartment/177407313
$900+/mo,"Coronado Apartments | 5260 Centre Ave, Pittsburgh, PA 15232",0 beds,1 bath,433-664,4 units available,(724) 715-3966,https://ssl.cdn-redfin.com/photo/rent/77fc52bc-2059-41ed-b839-0f6dc5d969fc/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Coronado-Apartments/apartment/74662295
"$1,390/mo","Normandy Apartments | 5530 Fifth Ave, Pittsburgh, PA 15232",2 beds,1 bath,744,Dishwasher,(878) 213-4293,https://ssl.cdn-redfin.com/photo/rent/504f8548-b2c0-4a97-80e3-a651bd1c5ea2/islphoto/genIsl.0_8.jpg,https://www.redfin.com/PA/Pittsburgh/Normandy-Apartments/apartment/177414096
$999+/mo,"Lebanon Vue | 400 Cochran Rd, Pittsburgh, PA 15228",1-2 bed,1 bath,640-735,12 units available,(412) 815-1348,https://ssl.cdn-redfin.com/photo/rent/d5054d04-fce1-40e9-ac8c-02a65dc594a8/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Lebanon-Vue/apartment/74494961
"$1,110+/mo","Negley Court | 5620 Fifth Ave, Pittsburgh, PA 15232",1-2 bed,1 bath,622-694,2 units available,(412) 318-5860,https://ssl.cdn-redfin.com/photo/rent/6c9fd241-dd8e-4b8e-8df7-115cb2941e38/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Negley-Court/apartment/189829235
"$1,025+/mo","Kennilworth Apartments | 5700 Centre Ave, Pittsburgh, PA 15206",1 bed,1 bath,435-520,Laundry facility,(412) 419-1959,https://ssl.cdn-redfin.com/photo/rent/03be1d1d-1f99-41e7-85df-55eb1ba96fed/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Kennilworth-Apartments/apartment/177403029
"$1,795/mo","2419 Smallman St #306, Pittsburgh, PA 15222",1 bed,1 bath,"1,112",Laundry in unit,(724) 733-7100,https://ssl.cdn-redfin.com/photo/rent/f42ee0b3-0ded-4cfc-92b3-827131eccc0b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/2419-Smallman-St-15222/unit-306/home/75128655
