Price,Location,Beds,Baths,Size,Units,Phone,Image_URL,Home_URL
$884+/mo,"Waldorf Park Apartments | 103 McKnight Cir, Pittsburgh, PA 15237",1-2 bed,1-2 bath,"550-1,140",8 units available,(412) 815-0829,https://ssl.cdn-redfin.com/photo/rent/31e1f826-1c0d-4af3-a21f-01c139867488/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Waldorf-Park-Apartments/apartment/185569716
"$1,450/mo","Rossview Heights Townhomes | 112 Hilands Pl, Pittsburgh, PA 15237",3 beds,1 bath,"1,170",6 units available,(724) 492-8467,https://ssl.cdn-redfin.com/photo/rent/3a15b34b-e3af-44b4-97e3-314b0de9e0a2/islphoto/genIsl.0_13.jpg,https://www.redfin.com/PA/Pittsburgh/Rossview-Heights-Townhomes/apartment/177361190
$999+/mo,"Shadyside Apartments | 6005 Fifth Ave, Pittsburgh, PA 15206",0-1 beds,1 bath,520-692,10 units available,(724) 492-8996,https://ssl.cdn-redfin.com/photo/rent/7b653eb1-1b7a-4c55-985a-dc8094ec419c/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/Shadyside-Apartments/apartment/177354563
"$1,235+/mo","Flats on Fifth | 1655 5th Ave, Pittsburgh, PA 15219",1-2 bed,1-2 bath,"688-1,054",39 units available,(412) 912-8690,https://ssl.cdn-redfin.com/photo/rent/a0a10419-715f-43f0-bea8-22093bab164f/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Flats-on-Fifth/apartment/113693410
$905+/mo,"Mark Twain Apartments | 406 N Neville St, Pittsburgh, PA 15213",0-2 beds,1 bath,484-773,3 units available,(412) 752-9384,https://ssl.cdn-redfin.com/photo/rent/29865904-55eb-467a-8286-7fcca4318d9b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Mark-Twain-Apartments/apartment/74664458
$900+/mo,"Alcoma on the Green | 225 Alcoma Blvd, Penn Hills, PA 15235",1-3 bed,1-2 bath,"724-1,200",8 units available,(724) 260-6696,https://ssl.cdn-redfin.com/photo/rent/12a788ef-144e-42b1-92d3-ced3f603905b/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Penn-Hills/Alcoma-on-the-Green/apartment/179447061
$850+/mo,"Hoodridge Court | 452-484 Hoodridge Dr, Pittsburgh, PA 15234",1-2 bed,1 bath,547-815,1 unit available,(412) 815-1005,https://ssl.cdn-redfin.com/photo/rent/209beec4-e929-4080-afa5-8d595807eb2a/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Hoodridge-Court/apartment/184913378
$925/mo,"Place Sevile Apartments | 957 Bockstoce Ave, Pittsburgh, PA 15234",1 bed,1 bath,—,2 units available,(412) 815-1185,https://ssl.cdn-redfin.com/photo/rent/c7eaea53-afb0-4eae-b148-fcb7959a5020/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Place-Sevile-Apartments/apartment/74528802
$980+/mo,"White Oaks | 600 Stevens Dr, Pittsburgh, PA 15237",2 beds,1 bath,800-860,2 units available,(412) 815-0875,https://ssl.cdn-redfin.com/photo/rent/b5637497-a030-4576-a07b-0f1e14271ad7/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/White-Oaks/apartment/185569718
$965/mo,"Brighton Road Apartments | 2449 Brighton Rd, Pittsburgh, PA 15212",1 bed,1 bath,—,2 units available,(412) 714-2701,https://ssl.cdn-redfin.com/photo/rent/3023f5b3-3b91-4761-bea9-fdcfac8b46a9/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Brighton-Road-Apartments/apartment/190782374
"$1,299+/mo","Bryant Lofts | 5700 Bryant St, Pittsburgh, PA 15206",1-2 bed,1 bath,717,9 units available,(724) 715-3974,https://ssl.cdn-redfin.com/photo/rent/2368e7b1-735f-4aef-aac8-088c2f7b7bb3/islphoto/genIsl.0_9.jpg,https://www.redfin.com/PA/Pittsburgh/5700-Bryant-St-15206/home/73584720
$705/mo,"Central Square Apartments | 101129 Central Sq, Mt Lebanon, PA 15228",0 beds,1 bath,440,5 units available,(724) 307-8483,https://ssl.cdn-redfin.com/photo/rent/30b6cb18-b136-403e-8c90-58b132a7d97e/islphoto/genIsl.0_15.jpg,https://www.redfin.com/PA/Mt-Lebanon/Central-Square-Apartments/apartment/183944916
"$1,029+/mo","Oakland Apartments | 135 N Craig St, Pittsburgh, PA 15213",0-5 beds,1-3 bath,700-900,14 units available,(412) 815-1075,https://ssl.cdn-redfin.com/photo/rent/8399065c-c4ce-4bf0-9e04-04f2c5dfdf89/islphoto/genIsl.0_8.jpg,https://www.redfin.com/PA/Pittsburgh/Oakland-Apartments/apartment/189828928
$975+/mo,"Cloverleaf Village | 3 Marhoefer Dr, Pleasant Hills, PA 15236",2 beds,1 bath,725,4 units available,(724) 715-3808,https://ssl.cdn-redfin.com/photo/rent/69377629-cbfc-4e75-92e9-de27c6d6ee52/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pleasant-Hills/Cloverleaf-Village/apartment/140327011
$850+/mo,"Laurel Ridge | 100 15th St, West View, PA 15229",1-3 bed,1-1.5 bath,"650-1,000",7 units available,(724) 307-8780,https://ssl.cdn-redfin.com/photo/rent/fbfcf2c4-6595-44a2-883b-f0b011dc5fbd/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/West-View/Laurel-Ridge/apartment/180762264
$865+/mo,"Hoodridge Hall Apartments | 412 Hoodridge Dr, Castle Shannon, PA 15234",1-2 bed,1 bath,611-760,4 units available,(412) 556-9600,https://ssl.cdn-redfin.com/photo/rent/f6472d19-5aeb-4bd6-9309-a195f60bc974/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Castle-Shannon/Hoodridge-Hall-Apartments/apartment/191600853
$867+/mo,"Holiday Park Apartments | 80 Sandune Dr, Pittsburgh, PA 15239",1-3 bed,1-2.5 bath,"500-1,508",11 units available,(724) 715-3810,https://ssl.cdn-redfin.com/photo/rent/67d50693-961f-427e-809b-f4cb0fb60bb1/islphoto/genIsl.0_9.jpg,https://www.redfin.com/PA/Pittsburgh/Holiday-Park-Apartments/apartment/102209732
$725+/mo,"Savoy Apartments | 3500 Brownsville Rd, Pittsburgh, PA 15227",1-2 bed,1 bath,495-870,6 units available,(412) 815-1568,https://ssl.cdn-redfin.com/photo/rent/1d7fe5c3-251d-4e80-8110-ea065a7c8f27/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Pittsburgh/Savoy-Apartments/apartment/74525552
$729+/mo,"Bellevue Apartments | 37 Washington Ave, Pittsburgh, PA 15202",0-2 beds,1 bath,—,8 units available,(724) 307-8110,https://ssl.cdn-redfin.com/photo/rent/054c53ed-ff5f-43bf-a3c2-7306d0ee9de1/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Bellevue-Apartments/apartment/74462252
$735+/mo,"South Hills Apartments | 500 Hoodridge Dr, Pittsburgh, PA 15234",0-3 beds,1 bath,699,7 units available,(412) 714-2374,https://ssl.cdn-redfin.com/photo/rent/cf299645-366a-4799-afa8-6d9d2c03e6c5/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/South-Hills-Apartments/apartment/74528955
$690+/mo,"Sleepy Hollow Townhomes | Sleepy Hollow Rd, Pittsburgh, PA 15234",1-3 bed,1 bath,—,2 units available,(412) 714-2530,https://ssl.cdn-redfin.com/photo/rent/a0f5a514-001f-4089-9aa8-4c94883e14a2/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Sleepy-Hollow-Rd-15234/home/163742073
$730+/mo,"Dormont Apartments | 1524 McFarland Rd, Pittsburgh, PA 15216",0-2 beds,1-2 bath,—,7 units available,(724) 307-5502,https://ssl.cdn-redfin.com/photo/rent/ee6e0b40-8eb2-45ad-a283-fc77ed7ce523/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Dormont-Apartments/apartment/74770170
$575+/mo,"Pinetree Gardens | 162 Victoria Dr, Brentwood, PA 15227",1 bed,1 bath,500-620,4 units available,(724) 260-6729,https://ssl.cdn-redfin.com/photo/rent/233706cb-52fb-48b6-9d96-a8d3c3eba484/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Brentwood/Pinetree-Gardens/apartment/177410605
$725+/mo,"Bellevue Mansions | 440 Jefferson Ave, Bellevue, PA 15202",0-2 beds,1 bath,—,8 units available,(412) 912-8796,https://ssl.cdn-redfin.com/photo/rent/d00ceb20-1769-47f5-8e44-797f89bd97c9/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Bellevue/Bellevue-Mansions/apartment/177356656
$760+/mo,"Shamrock | 58 S Fremont Ave, Bellevue, PA 15202",1-2 bed,1 bath,—,5 units available,(412) 815-1346,https://ssl.cdn-redfin.com/photo/rent/1a30d649-efad-4938-8fdc-be3eb40d4205/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Bellevue/Shamrock/apartment/177431227
$690/mo,"Skytop Village | 1661 Skyline Dr, Pittsburgh, PA 15227",1 bed,1 bath,475,7 units available,(412) 912-7018,https://ssl.cdn-redfin.com/photo/rent/ee865b6a-c073-422d-8826-da165db87177/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/Skytop-Village/apartment/184089265
$810+/mo,"Castletone Apartments | 790 Shady Dr E, Mt Lebanon, PA 15228",1 bed,1 bath,494-614,2 units available,(412) 785-3192,https://ssl.cdn-redfin.com/photo/rent/dc6cdb66-845e-4a2c-be57-d0311f02f055/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Mt-Lebanon/Castletone-Apartments/apartment/177358190
$950+/mo,"Wellington Square | 3910-3950 Old William Penn Hwy, Pittsburgh, PA 15235",1-2 bed,1-2 bath,—,5 units available,(412) 714-2618,https://ssl.cdn-redfin.com/photo/rent/973f1b2e-4aa9-4555-bab9-673687e5f84e/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Wellington-Square/apartment/189064295
