Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Image Link,Link to Listing
3bed 2 bath House For Rent - apts/housing for rent - apartment rent - craigslist,House,"$2,000",Elrama,"1420 Collins Ave, Jefferson Hills, PA 15025",40.256587,-79.925766,3,2,1100,monthly,w/d in unit,detached garage,https://images.craigslist.org/00Z0Z_7wpwvBWrV9e_0lM0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/elrama-3bed-bath-house-for-rent/7791758533.html
"in Hunker PA, 3/bd, Laundry Suites - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,372",Hunker,"117 Huntingdon Village Dr, Hunker, PA 15639",40.189994,-79.599803,3,2,1246,monthly,laundry on site,off-street parking,https://images.craigslist.org/00Z0Z_Iq8JSur0ma_09i06I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/hunker-in-hunker-pa-bd-laundry-suites/7790536529.html
Utilities included for one person - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,000",Bridgeville,"1100 Washington Pike, Bridgevile, PA 15017",40.347200,-80.115300,1,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00n0n_iRFVwCGGZkG_0MM132_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/bridgeville-utilities-included-for-one/7787476530.html
Relax in your new 700 sq ft 2 bed / 1 bath! - apts/housing for rent - apartment rent - craigslist,Apartment,$754,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,700,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00F0F_kTWNVt6GUQB_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-relax-in-your-new-700-sq-ft-bed/7784101700.html
West View 1/2 Duplex - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,100",Pittsburgh,N/A,40.516400,-80.021600,2,1,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00L0L_8cRNXl7IzVD_0t20CI_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-west-view-2-duplex/7791734324.html
##Charming 2BED//1BATH Rental For Rent## - apts/housing for rent - apartment rent - craigslist,House,$600,Pittsburgh,N/A,40.440600,-79.995900,2,1,N/A,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00303_5fCPVHlIf11_09G07g_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-charming-2bed-1bath-rental/7791736969.html
"Two-Bedroom Apartment with Eat-In Kitchen - Wood Floors, Laundry! - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,340",Pittsburgh,N/A,40.471954,-79.930044,2,1,N/A,monthly,laundry on site,off-street parking,https://images.craigslist.org/00606_jLK3MO5NUS1_0ak07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-two-bedroom-apartment-with/7791736674.html
2 Bedroom Walking Distance to Pitt - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,135",Pittsburgh,"3408 Parkview Avenue, Pittsburgh, PA 15213",40.400100,-80.016100,2,1,465,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00k0k_3iX7FUsy32x_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-walking-distance-to/7784373568.html
"2BR, 1BA Mt. Washington Apartment - Off-Street Parking & Laundry - apts/housing for rent - apartment rent - craigslist",Apartment,$890,Pittsburgh,N/A,40.425549,-80.009395,2,1,N/A,monthly,laundry on site,off-street parking,https://images.craigslist.org/00z0z_iL7SOSbUDXg_05O07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2br-1ba-mt-washington/7791734751.html
"Spacious 2BR, 1BA Apartment with Balcony and Garage - 1011 Wilson Way - apts/housing for rent - apartment rent -...",Apartment,"$1,000",Pittsburgh,N/A,40.539706,-80.037814,2,1,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00e0e_9WgdMWmeNTO_09i0co_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-2br-1ba-apartment/7791734740.html
Great Pet-Friendly Community in Indiana! Ask for details! - apts/housing for rent - apartment rent - craigslist,Apartment,$654,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,1,1,500,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00c0c_5qlGLUdqurD_0eN09V_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-great-pet-friendly-community-in/7785235978.html
"Podcast Room, Lounge, Rooftop Ice Rink - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,736",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,714,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00n0n_9Ov5pxkYgnM_0qs0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-podcast-room-lounge-rooftop/7789334457.html
On the Budget Studio! Free Parking! Free Gym! Free Heat! 210 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,295",Pittsburgh,"Turrentine PL, Pittsburgh, PA 15213",40.444000,-79.955200,N/A,1,349,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00V0V_ebHlmrm1GBT_0lM0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-on-the-budget-studio-free/7791702833.html
"++Picture perfect 2 bedroom, 1 bath rental++ - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,050",Pittsburgh,N/A,40.440600,-79.995900,2,1,1020,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00202_7DcxJOMmIz9_09S0c5_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-picture-perfect-bedroom-bath/7791723629.html
"On-Site Maintenance, Courtyard, Air Conditioner - apts/housing for rent - apartment rent - craigslist",Apartment,$959,Carnegie,"1 3rd Ave, Carnegie, PA 15106",40.405333,-80.088281,1,1,557,monthly,laundry on site,off-street parking,https://images.craigslist.org/00505_cteTFWWKiRp_0jm0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/carnegie-on-site-maintenance-courtyard/7789855554.html
3bd house - apts/housing for rent - apartment rent - craigslist,House,"$1,600",Homestead,N/A,40.392600,-79.905200,3,1,N/A,monthly,w/d hookups,street parking,https://images.craigslist.org/00T0T_5y30hz45rFX_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/homestead-3bd-house/7791725866.html
"1 Bed 1 Bath with Den/Office Space, Pet Friendly, Covered Parking - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,375",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.500000,-80.199600,1,1,825,monthly,w/d in unit,carport,https://images.craigslist.org/00000_3cfKSbsG0F0_0q80hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/coraopolis-bed-bath-with-den-office/7791721179.html
TOWNHOUSE OAKMONT COMMONS - apts/housing for rent - apartment rent - craigslist,House,"$1,450",Oakmont,"5 NEW LONDON LANE, OAKMONT PA, PA 15139",40.519600,-79.836900,2,2,1200,monthly,w/d hookups,attached garage,https://images.craigslist.org/00K0K_69KrWKmZEqZ_07K0ak_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/oakmont-townhouse-oakmont-commons/7791720151.html
"Welcome to this charming 2-bedroom, 1.5-bathroom rental home located - apts/housing for rent - apartment rent -...",House,$810,Pittsburgh,"143 Clairtonica St,, Pittsburgh, PA 15205",40.438969,-80.056576,2,1,N/A,monthly,w/d in unit,off-street parking,https://images.craigslist.org/01414_5YODwkRBihv_0b80cJ_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-welcome-to-this-charming/7791719810.html
Mt Lebanon 1 Bed Apartment Move in Ready 1485-106 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,175",Pittsburgh,"1485 McFarland Road, Pittsburgh, PA 15224",40.390763,-80.043957,1,1,900,monthly,w/d in unit,detached garage,https://images.craigslist.org/00K0K_egRso2OB8Wo_0wg0oc_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-mt-lebanon-bed-apartment/7791717365.html
Wonderful location for commuters! We're near public transit - apts/housing for rent - apartment rent - craigslist,Apartment,$925,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,3,1,1000,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00K0K_53SclnTHklj_0eN0b8_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-wonderful-location-for/7787635857.html
"Off Street Parking, Cable/Satellite, Window Coverings - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,467",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00e0e_7vt2CJYB09S_0d408I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-off-street-parking-cable/7785918073.html
Shady Side Newly Renovated Studio - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,200",Pittsburgh,"Maryland Street, Pittsburgh, PA 15232",40.452968,-79.922473,N/A,1,300,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00x0x_7jPGTKhCLmP_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-shady-side-newly-renovated/7791712164.html
"""Why deal with leases and deposits?” - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,049",Carnegie,"520 N. Bell Avenue, Carnegie, PA 15106",40.417058,-80.088894,1,1,N/A,monthly,laundry on site,off-street parking,https://images.craigslist.org/00303_kGY3rsYdeL4_09G05S_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/carnegie-why-deal-with-leases-and/7791700612.html
Sec. 8 OK - apts/housing for rent - apartment rent - craigslist,House,"$1,595",Pittsburgh,"73 Edenvale St., Pittsburgh, PA 15212",40.462510,-80.003068,3,1,N/A,monthly,w/d hookups,street parking,No image available,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sec-ok/7790476746.html
Sec. 8 OK - apts/housing for rent - apartment rent - craigslist,House,"$1,995",Pittsburgh,"262 Kennedy Ave., Pittsburgh, PA 15214",40.474306,-80.012400,4,1,N/A,monthly,w/d hookups,street parking,No image available,https://pittsburgh.craigslist.org/apa/d/pittsburgh-sec-ok/7787936929.html
Section 8 Accepted - 2 Bedroom Duplex - apts/housing for rent - apartment rent - craigslist,Apartment,$913,Mckeesport,N/A,40.347800,-79.864200,2,1,N/A,monthly,w/d hookups,carport,https://images.craigslist.org/01111_5GyUnuWkONz_08g06s_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/mckeesport-section-accepted-bedroom/7791698199.html
Phenomenal 2 BR double balc w/ensuite laundry Mt Lebo 11/15 - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,600",Pittsburgh,"37 ACADEMY AVENUE, MT LEBANON, PA 15228",40.369600,-80.043900,2,1,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00F0F_3MjX2iQrKPO_0v40nh_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-phenomenal-br-double-balc/7791704442.html
3 Level Townhome! W/D in Unit! Deck! Central Air! Parking!3061 - apts/housing for rent - apartment rent - craigslist,House,"$1,995",Pittsburgh,"Terrace street, Pittsburgh, PA 15213",40.440169,-79.967274,3,2,1479,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00000_dwFqDLIi2Y0_0lM0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-level-townhome-d-in-unit/7791704131.html
Gorgeous Shady Side 2 Bed 2 Bath - 6111 5th Ave. - apts/housing for rent - apartment rent - craigslist,Apartment,"$3,250",Pittsburgh,"Emerson Street, Pittsburgh, PA 15232",40.452968,-79.922473,2,2,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00v0v_e12qNb82vPT_0ak07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-gorgeous-shady-side-bed-bath/7791703324.html
River View 2 Bedroom *Move In Specials* - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,985",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.447700,-79.993300,2,1,975,monthly,w/d in unit,attached garage,https://images.craigslist.org/01313_dFd2RLoOwIl_0jm0cU_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-river-view-bedroom-move-in/7783739808.html
1 Bedroom- All Utilities Included - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,463",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,1,1,502,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00909_lnARCbKrEzj_0Mn0wg_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-all-utilities/7790161974.html
Spacious 1 bedroom with Central Air and W/D in unit! Free Parking! 116 - apts/housing for rent - apartment rent -...,Apartment,"$1,805",Pittsburgh,"Turrentine PL, Pittsburgh, PA 15213",40.444000,-79.955200,1,1,705,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00G0G_2BOFul8rPSI_0t20CI_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-bedroom-with/7791699143.html
"Close to Public Trans, Full Bath with Tub, Lobby Lounge, For Seniors - apts/housing for rent - apartment rent -...",House,$976,Connellsville,"120 E Peach St, Connellsville, PA 15425",40.020481,-79.588443,2,1,774,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00A0A_farJEcUiszY_0er0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/connellsville-close-to-public-trans/7791698967.html
House for Rent in Carrick/Pittsburgh - apts/housing for rent - apartment rent - craigslist,Apartment,$975,Pittsburgh,N/A,40.380500,-79.966700,3,2,1150,monthly,w/d hookups,off-street parking,https://images.craigslist.org/00m0m_hJYDdVkWor8_0i90dm_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-house-for-rent-in-carrick/7790955378.html
3 bed 1 bath with attached garage - apts/housing for rent - apartment rent - craigslist,Place,$1300.00,Verona,"614 First St, Verona, PA 15147",40.504004,-79.839500,3,1,1080,monthly,w/d in unit,attached garage,https://images.craigslist.org/00909_he4B50pef5r_06p04P_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/verona-bed-bath-with-attached-garage/7791696265.html
"High Ceilings, Rooftop Pool, In-Residence Laundry - apts/housing for rent - apartment rent - craigslist",Apartment,"$2,400",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,738,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00y0y_4FdF5UQ2SA6_0qs0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-high-ceilings-rooftop-pool/7790531583.html
"HARDWOOD FLOORS, NEW BATHROOM & KITCHEN, LARGE BEDROOMS, FRESH PAINT - apts/housing for rent - apartment rent -...",Apartment,$950,Pittsburgh,"856 Ohio River Blvd, Avalon, PA 15202",40.495176,-80.066334,2,1,900,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00i0i_gWG5uNvA1oZ_0ak07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-hardwood-floors-new-bathroom/7791692258.html
New 3 to 4 Bedroom unit - apts/housing for rent - apartment rent - craigslist,Place,$1900.00,Pittsburgh,"3403 Dawson St, Pittsburgh, PA 15213",40.434698,-79.953406,4,1,N/A,monthly,w/d in unit,N/A,https://images.craigslist.org/00B0B_aBSaQYHGGX0_09G0cU_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-new-to-bedroom-unit/7791693261.html
Duplex 2 bedroom apartment - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,300",Pittsburgh,"2225 Palm Beach Avenue, Pittsburgh, PA 15216",40.403500,-80.026075,2,1,N/A,monthly,w/d hookups,street parking,No image available,https://pittsburgh.craigslist.org/apa/d/pittsburgh-duplex-bedroom-apartment/7791691092.html
Townhouse - apts/housing for rent - apartment rent - craigslist,Place,$1300.00,Greensburg,"412 Silvis Way, Greensburg, PA 15601",40.290651,-79.538833,2,2,N/A,monthly,laundry on site,attached garage,https://images.craigslist.org/00k0k_hqGYpNdWMGa_0c605L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/greensburg-townhouse/7791692156.html
Large 1 Bedroom/ 1 Bath - apts/housing for rent - apartment rent - craigslist,Place,$850.00,Meadow Lands,"1584 North Main St., washington, PA 15301",40.195059,-80.254718,1,1,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00E0E_jurhVjFPeRK_0cU09G_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/meadow-lands-large-bedroom-bath/7791691336.html
UPDATED 15 3rd St Unit B Carnegie 15106 - UTILITIES INCLUDED - apts/housing for rent - apartment rent - craigslist,Place,$1190.00,Carnegie,"15 3rd St. Unit B, Carnegie, PA 15106",40.402126,-80.088634,2,2,N/A,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00T0T_94v0qNaTQwF_0cU06s_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/carnegie-updated-15-3rd-st-unit/7791689922.html
2 bedroom 1 bath duplex for rent - apts/housing for rent - apartment rent - craigslist,Place,$850.00,Penn,"424 Cassatt Ave, Jeannette, PA 15644",40.325083,-79.621067,2,1,N/A,monthly,no laundry on site,N/A,https://images.craigslist.org/00r0r_dhT12upOfLq_09I0cU_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/penn-bedroom-bath-duplex-for-rent/7791689738.html
"1 Bed 1 Bath Located in Moon Township, Pet Friendly - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,325",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.500000,-80.199600,1,1,640,monthly,w/d in unit,carport,https://images.craigslist.org/00N0N_dJEJjJpPgcd_0uY0kE_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/coraopolis-bed-bath-located-in-moon/7790721369.html
Mt. Washington 2 bedroom 1 bathroom 1st Fl Apt. - apts/housing for rent - apartment rent - craigslist,Place,$1050.00,Pittsburgh,"25 Norton St, Pittsburgh, PA 15211",40.426506,-80.009757,2,1,1200,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00t0t_1SzTeDFrcwu_09G0cU_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-mt-washington-bedroom/7791688140.html
Incredibly Spacious 2 Bedroom in Squirrel Hill - Washer & Dryer INCLUD - apts/housing for rent - apartment rent -...,Apartment,"$1,545",Pittsburgh,"Beacon, Pittsburgh, PA 15217",40.433956,-79.927340,2,1,N/A,monthly,w/d in unit,street parking,https://images.craigslist.org/00x0x_cuwRREDkAss_0x20oM_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-incredibly-spacious-bedroom/7791686028.html
"Large Closets, Controlled Access, Internet Access: High-Speed - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,509",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00O0O_bTQh0rrmjJi_0d408I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-large-closets-controlled/7791684457.html
"Recessed Lighting, 24/7 Concierge, Golf Simulator - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,832",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,700,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00y0y_9wFG4exdse8_0qs0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-recessed-lighting-24/7791684208.html
Lovely 2BR Townhouse in Perfect Squirrel Hill Location! Call Today!! - apts/housing for rent - apartment rent -...,Apartment,"$1,545",Pittsburgh,"Beacon, Pittsburgh, PA 15217",40.433956,-79.927340,2,1,N/A,monthly,w/d in unit,street parking,https://images.craigslist.org/00n0n_aDWUYNkt5Dz_0x20oM_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-lovely-2br-townhouse-in/7791684007.html
2 bedroom house - Section 8 ok. - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,200",Pittsburgh,"Allendale St, Pittsburgh, PA 15204",40.452768,-80.059477,2,1,N/A,monthly,w/d hookups,street parking,No image available,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-house-section-ok/7791682959.html
Spacious Two Bedroom in Squirrel Hill with Hardwood Floors! Call Today - apts/housing for rent - apartment rent -...,Apartment,"$1,545",Pittsburgh,"Beacon, Pittsburgh, PA 15217",40.433956,-79.927340,2,1,N/A,monthly,w/d in unit,street parking,https://images.craigslist.org/00Q0Q_eHi2BrQlxVx_0x20oM_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-two-bedroom-in/7791682303.html
Charming 5-Bedroom House For Rent. - apts/housing for rent - apartment rent - craigslist,Place,$2750.00,Coraopolis,"122 S Jamestown Rd, Coraopolis, PA 15108",40.530305,-80.212545,5,3,2000,monthly,w/d hookups,attached garage,https://images.craigslist.org/00S0S_g7ToDP6z4DM_0cU09I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/coraopolis-charming-bedroom-house-for/7791682291.html
"Located in Bridgeville, Carpeting, 1B/1B - apts/housing for rent - apartment rent - craigslist",Apartment,$993,Bridgeville,"479 Bank St Ext, Bridgeville, PA 15017",40.357388,-80.111871,1,1,663,monthly,laundry on site,off-street parking,https://images.craigslist.org/00V0V_iOrKIcQfP58_0jm0cV_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/bridgeville-located-in-bridgeville/7791680089.html
530 N Euclid Pittsburgh PA 15206 - apts/housing for rent - apartment rent - craigslist,Place,$1575.00,Pittsburgh,"530 N Euclid Ave, Pittsburgh, PA 15206",40.467560,-79.924544,2,1,900,monthly,laundry on site,N/A,https://images.craigslist.org/00A0A_ko6GfItqrcS_0ak07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-530-euclid-pittsburgh-pa/7791680572.html
Move in 11/1! 2BR Nr Frick Prk! On buslines 2 CMU/Pitt/Chatham/UPMC! - apts/housing for rent - apartment rent -...,Apartment,"$1,600",Pittsburgh,"Northumberland, Pittsburgh, PA 15217",40.442468,-79.917073,2,1,1075,monthly,w/d hookups,street parking,https://images.craigslist.org/01212_1qapYA0hYwA_0kE0bD_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-move-in-br-nr-frick-prk-on/7791674656.html
Brookline apartment first floor - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,150",Pittsburgh,"1500 Berkshire av. apt #1, Pittsburgh, PA 15226",40.387469,-80.013475,2,1,1400,monthly,no laundry on site,street parking,https://images.craigslist.org/00c0c_1U7cwsPUep2_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-brookline-apartment-first/7791675080.html
3 bedroom 2 bathroom Apartment on Quiet Street in Ambridge - apts/housing for rent - apartment rent - craigslist,Place,$1050.00,South Heights,"618 Maplewood Ave, Ambridge PA, Ambridge, PA 15003",40.586644,-80.228232,3,2,N/A,monthly,laundry on site,off-street parking,https://images.craigslist.org/00808_4T6Egh5oYBg_0cU09G_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/south-heights-bedroom-bathroom/7791679583.html
"Spacious end unit townhouse 3 bedrooms/3.5 baths near downtown (2,175 - apts/housing for rent - apartment rent -...",Place,$4800.00,Pittsburgh,"144 Villa Drive, Pittsburgh, PA 15214",40.494483,-80.000398,3,4,2175,monthly,w/d in unit,attached garage,https://images.craigslist.org/00000_73NM9kANR8g_0cU07g_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-end-unit-townhouse/7791677516.html
"Spacious end unit townhouse 3 bed/3.5 bath near downtown (2,175 sqft) - apts/housing for rent - apartment rent -...",Place,$2850.00,Pittsburgh,"146 Villa Drive, Pittsburgh, PA 15214",40.494515,-80.000471,3,4,2175,monthly,w/d in unit,attached garage,https://images.craigslist.org/01414_5GVwYff7A4k_0cU07g_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-end-unit-townhouse/7791677235.html
"Pittsburgh PA, Keyless Entry, 2/BD - apts/housing for rent - apartment rent - craigslist",Apartment,"$2,075",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.447700,-79.993300,2,1,925,monthly,w/d in unit,attached garage,https://images.craigslist.org/00O0O_fZCUYylYqoN_0uY0kE_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pittsburgh-pa-keyless-entry/7788136111.html
"Move in 1/2! 2BR w office! Nr Bkry Sq, Chatham, Pitt & CMU! - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,450",Pittsburgh,"Hastings, Pittsburgh, PA 15206",40.454268,-79.913273,2,1,1100,monthly,w/d hookups,street parking,https://images.craigslist.org/00Y0Y_gACBuPisLpn_07K05a_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-move-in-2-2br-office-nr-bkry/7789681306.html
12/1! 1BR NR CMU/Chatham/Pitt/UPMC!! Bike 2 Schenley&SqHill Shopping! - apts/housing for rent - apartment rent -...,Apartment,"$1,016",Pittsburgh,"Covode, Pittsburgh, PA 15217",40.431869,-79.927273,1,1,400,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/01717_1jbIQbcCBR7_0cU08B_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-br-nr-cmu-chatham-pitt-upmc/7790257126.html
1 BR / 1 BA great for pets! Pet-Friendly Community in Indiana - apts/housing for rent - apartment rent - craigslist,Apartment,$599,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,1,1,450,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00Q0Q_988eKDbhH99_0g50aN_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-br-ba-great-for-pets-pet/7786419133.html
1/bd - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,270",Pittsburgh,"7 Dorchester Drive, Pittsburgh, PA 15241",40.332300,-80.081000,1,1,660,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00J0J_bRat2Fq3cP0_0uY0ne_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bd/7791674368.html
"Package Receiving, Pets Allowed, Large Closets - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,517",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,2,2,980,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00808_frpMMbyUfil_0d408I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-package-receiving-pets/7790279194.html
2 bedroom mount washington - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,295",Pittsburgh,"114 Kearsage St., Pittsburgh, PA 15211",40.400100,-80.016100,2,1,850,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00b0b_aoiCXEcEaqx_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-mount-washington/7789551269.html
"Different from the rest, don't hesitate! - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,193",Pittsburgh,"166 N Dithridge St, Oakland, PA 15213",40.444000,-79.955200,1,1,1193,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00k0k_4qX4H6BhUxG_0hw0bE_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-different-from-the-rest-dont/7785132952.html
